Sample in Buffer,Sample in Window,TRIGGER,UART_Transfer_i/clock_out_top_0/U0/fifo_count_slv[3:0],UART_Transfer_i/clock_out_top_0/U0/glitching_done,UART_Transfer_i/clock_out_top_0/U0/tdc_code[7:0],UART_Transfer_i/clock_out_top_0/U0/gpio_latched[15:0],UART_Transfer_i/clock_out_top_0/U0/display_ptr_slv[2:0],UART_Transfer_i/clock_out_top_0/U0/tdc_code_latched[7:0],UART_Transfer_i/clock_out_top_0/U0/glitch_fifo_debug[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
131,131,0,7,0,01,0000,5,01,0080
132,132,0,7,0,01,0000,5,01,0080
133,133,0,7,0,01,0000,5,01,0080
134,134,0,7,0,01,0000,5,01,0080
135,135,0,7,0,01,0000,5,01,0080
136,136,0,7,0,01,0000,5,01,0080
137,137,0,7,0,01,0000,5,01,0080
138,138,0,7,0,01,0000,5,01,0080
139,139,0,7,0,01,0000,5,01,0080
140,140,0,7,0,01,0000,5,01,0080
141,141,0,7,0,01,0000,5,01,0080
142,142,0,7,0,01,0000,5,01,0080
143,143,0,7,0,01,0000,5,01,0080
144,144,0,7,0,01,0000,5,01,0080
145,145,0,7,0,01,0000,5,01,0080
146,146,0,7,0,01,0000,5,01,0080
147,147,0,7,0,01,0000,5,01,0080
148,148,0,7,0,01,0000,5,01,0080
149,149,0,7,0,01,0000,5,01,0080
150,150,0,7,0,01,0000,5,01,0080
151,151,0,7,0,01,0000,5,01,0080
152,152,0,7,0,01,0000,5,01,0080
153,153,0,7,0,01,0000,5,01,0080
154,154,0,7,0,01,0000,5,01,0080
155,155,0,7,0,01,0000,5,01,0080
156,156,0,7,0,01,0000,5,01,0080
157,157,0,7,0,01,0000,5,01,0080
158,158,0,7,0,01,0000,5,01,0080
159,159,0,7,0,01,0000,5,01,0080
160,160,0,7,0,01,0000,5,01,0080
161,161,0,7,0,01,0000,5,01,0080
162,162,0,7,0,01,0000,5,01,0080
163,163,0,7,0,01,0000,5,01,0080
164,164,0,7,0,01,0000,5,01,0080
165,165,0,7,0,01,0000,5,01,0080
166,166,0,7,0,01,0000,5,01,0080
167,167,0,7,0,01,0000,5,01,0080
168,168,0,7,0,01,0000,5,01,0080
169,169,0,7,0,01,0000,5,01,0080
170,170,0,7,0,01,0000,5,01,0080
171,171,0,7,0,01,0000,5,01,0080
172,172,0,7,0,01,0000,5,01,0080
173,173,0,7,0,01,0000,5,01,0080
174,174,0,7,0,01,0000,5,01,0080
175,175,0,7,0,01,0000,5,01,0080
176,176,0,7,0,01,0000,5,01,0080
177,177,0,7,0,01,0000,5,01,0080
178,178,0,7,0,01,0000,5,01,0080
179,179,0,7,0,01,0000,5,01,0080
180,180,0,7,0,01,0000,5,01,0080
181,181,0,7,0,01,0000,5,01,0080
182,182,0,7,0,01,0000,5,01,0080
183,183,0,7,0,01,0000,5,01,0080
184,184,0,7,0,01,0000,5,01,0080
185,185,0,7,0,01,0000,5,01,0080
186,186,0,7,0,01,0000,5,01,0080
187,187,0,7,0,01,0000,5,01,0080
188,188,0,7,0,01,0000,5,01,0080
189,189,0,7,0,01,0000,5,01,0080
190,190,0,7,0,01,0000,5,01,0080
191,191,0,7,0,01,0000,5,01,0080
192,192,0,7,0,01,0000,5,01,0080
193,193,0,7,0,01,0000,5,01,0080
194,194,0,7,0,01,0000,5,01,0080
195,195,0,7,0,01,0000,5,01,0080
196,196,0,7,0,01,0000,5,01,0080
197,197,0,7,0,01,0000,5,01,0080
198,198,0,7,0,01,0000,5,01,0080
199,199,0,7,0,01,0000,5,01,0080
200,200,0,7,0,01,0000,5,01,0080
201,201,0,7,0,01,0000,5,01,0080
202,202,0,7,0,01,0000,5,01,0080
203,203,0,7,0,01,0000,5,01,0080
204,204,0,7,0,01,0000,5,01,0080
205,205,0,7,0,01,0000,5,01,0080
206,206,0,7,0,01,0000,5,01,0080
207,207,0,7,0,01,0000,5,01,0080
208,208,0,7,0,01,0000,5,01,0080
209,209,0,7,0,01,0000,5,01,0080
210,210,0,7,0,01,0000,5,01,0080
211,211,0,7,0,01,0000,5,01,0080
212,212,0,7,0,01,0000,5,01,0080
213,213,0,7,0,01,0000,5,01,0080
214,214,0,7,0,01,0000,5,01,0080
215,215,0,7,0,01,0000,5,01,0080
216,216,0,7,0,01,0000,5,01,0080
217,217,0,7,0,01,0000,5,01,0080
218,218,0,7,0,01,0000,5,01,0080
219,219,0,7,0,01,0000,5,01,0080
220,220,0,7,0,01,0000,5,01,0080
221,221,0,7,0,01,0000,5,01,0080
222,222,0,7,0,01,0000,5,01,0080
223,223,0,7,0,01,0000,5,01,0080
224,224,0,7,0,01,0000,5,01,0080
225,225,0,7,0,01,0000,5,01,0080
226,226,0,7,0,01,0000,5,01,0080
227,227,0,7,0,01,0000,5,01,0080
228,228,0,7,0,01,0000,5,01,0080
229,229,0,7,0,01,0000,5,01,0080
230,230,0,7,0,01,0000,5,01,0080
231,231,0,7,0,01,0000,5,01,0080
232,232,0,7,0,01,0000,5,01,0080
233,233,0,7,0,01,0000,5,01,0080
234,234,0,7,0,01,0000,5,01,0080
235,235,0,7,0,01,0000,5,01,0080
236,236,0,7,0,01,0000,5,01,0080
237,237,0,7,0,01,0000,5,01,0080
238,238,0,7,0,01,0000,5,01,0080
239,239,0,7,0,01,0000,5,01,0080
240,240,0,7,0,01,0000,5,01,0080
241,241,0,7,0,01,0000,5,01,0080
242,242,0,7,0,01,0000,5,01,0080
243,243,0,7,0,01,0000,5,01,0080
244,244,0,7,0,01,0000,5,01,0080
245,245,0,7,0,01,0000,5,01,0080
246,246,0,7,0,01,0000,5,01,0080
247,247,0,7,0,01,0000,5,01,0080
248,248,0,7,0,01,0000,5,01,0080
249,249,0,7,0,01,0000,5,01,0080
250,250,0,7,0,01,0000,5,01,0080
251,251,0,7,0,01,0000,5,01,0080
252,252,0,7,0,01,0000,5,01,0080
253,253,0,7,0,01,0000,5,01,0080
254,254,0,7,0,01,0000,5,01,0080
255,255,0,7,0,01,0000,5,01,0080
256,256,0,7,0,01,0000,5,01,0080
257,257,0,7,0,01,0000,5,01,0080
258,258,0,7,0,01,0000,5,01,0080
259,259,0,7,0,01,0000,5,01,0080
260,260,0,7,0,01,0000,5,01,0080
261,261,0,7,0,01,0000,5,01,0080
262,262,0,7,0,01,0000,5,01,0080
263,263,0,7,0,01,0000,5,01,0080
264,264,0,7,0,01,0000,5,01,0080
265,265,0,7,0,01,0000,5,01,0080
266,266,0,7,0,01,0000,5,01,0080
267,267,0,7,0,01,0000,5,01,0080
268,268,0,7,0,01,0000,5,01,0080
269,269,0,7,0,01,0000,5,01,0080
270,270,0,7,0,01,0000,5,01,0080
271,271,0,7,0,01,0000,5,01,0080
272,272,0,7,0,01,0000,5,01,0080
273,273,0,7,0,01,0000,5,01,0080
274,274,0,7,0,01,0000,5,01,0080
275,275,0,7,0,01,0000,5,01,0080
276,276,0,7,0,01,0000,5,01,0080
277,277,0,7,0,01,0000,5,01,0080
278,278,0,7,0,01,0000,5,01,0080
279,279,0,7,0,01,0000,5,01,0080
280,280,0,7,0,01,0000,5,01,0080
281,281,0,7,0,01,0000,5,01,0080
282,282,0,7,0,01,0000,5,01,0080
283,283,0,7,0,01,0000,5,01,0080
284,284,0,7,0,01,0000,5,01,0080
285,285,0,7,0,01,0000,5,01,0080
286,286,0,7,0,01,0000,5,01,0080
287,287,0,7,0,01,0000,5,01,0080
288,288,0,7,0,01,0000,5,01,0080
289,289,0,7,0,01,0000,5,01,0080
290,290,0,7,0,01,0000,5,01,0080
291,291,0,7,0,01,0000,5,01,0080
292,292,0,7,0,01,0000,5,01,0080
293,293,0,7,0,01,0000,5,01,0080
294,294,0,7,0,01,0000,5,01,0080
295,295,0,7,0,01,0000,5,01,0080
296,296,0,7,0,01,0000,5,01,0080
297,297,0,7,0,01,0000,5,01,0080
298,298,0,7,0,01,0000,5,01,0080
299,299,0,7,0,01,0000,5,01,0080
300,300,0,7,0,01,0000,5,01,0080
301,301,0,7,0,01,0000,5,01,0080
302,302,0,7,0,01,0000,5,01,0080
303,303,0,7,0,01,0000,5,01,0080
304,304,0,7,0,01,0000,5,01,0080
305,305,0,7,0,01,0000,5,01,0080
306,306,0,7,0,01,0000,5,01,0080
307,307,0,7,0,01,0000,5,01,0080
308,308,0,7,0,01,0000,5,01,0080
309,309,0,7,0,01,0000,5,01,0080
310,310,0,7,0,01,0000,5,01,0080
311,311,0,7,0,01,0000,5,01,0080
312,312,0,7,0,01,0000,5,01,0080
313,313,0,7,0,01,0000,5,01,0080
314,314,0,7,0,01,0000,5,01,0080
315,315,0,7,0,01,0000,5,01,0080
316,316,0,7,0,01,0000,5,01,0080
317,317,0,7,0,01,0000,5,01,0080
318,318,0,7,0,01,0000,5,01,0080
319,319,0,7,0,01,0000,5,01,0080
320,320,0,7,0,01,0000,5,01,0080
321,321,0,7,0,01,0000,5,01,0080
322,322,0,7,0,01,0000,5,01,0080
323,323,0,7,0,01,0000,5,01,0080
324,324,0,7,0,01,0000,5,01,0080
325,325,0,7,0,01,0000,5,01,0080
326,326,0,7,0,01,0000,5,01,0080
327,327,0,7,0,01,0000,5,01,0080
328,328,0,7,0,01,0000,5,01,0080
329,329,0,7,0,01,0000,5,01,0080
330,330,0,7,0,01,0000,5,01,0080
331,331,0,7,0,01,0000,5,01,0080
332,332,0,7,0,01,0000,5,01,0080
333,333,0,7,0,01,0000,5,01,0080
334,334,0,7,0,01,0000,5,01,0080
335,335,0,7,0,01,0000,5,01,0080
336,336,0,7,0,01,0000,5,01,0080
337,337,0,7,0,01,0000,5,01,0080
338,338,0,7,0,01,0000,5,01,0080
339,339,0,7,0,01,0000,5,01,0080
340,340,0,7,0,01,0000,5,01,0080
341,341,0,7,0,01,0000,5,01,0080
342,342,0,7,0,01,0000,5,01,0080
343,343,0,7,0,01,0000,5,01,0080
344,344,0,7,0,01,0000,5,01,0080
345,345,0,7,0,01,0000,5,01,0080
346,346,0,7,0,01,0000,5,01,0080
347,347,0,7,0,01,0000,5,01,0080
348,348,0,7,0,01,0000,5,01,0080
349,349,0,7,0,01,0000,5,01,0080
350,350,0,7,0,01,0000,5,01,0080
351,351,0,7,0,01,0000,5,01,0080
352,352,0,7,0,01,0000,5,01,0080
353,353,0,7,0,01,0000,5,01,0080
354,354,0,7,0,01,0000,5,01,0080
355,355,0,7,0,01,0000,5,01,0080
356,356,0,7,0,01,0000,5,01,0080
357,357,0,7,0,01,0000,5,01,0080
358,358,0,7,0,01,0000,5,01,0080
359,359,0,7,0,01,0000,5,01,0080
360,360,0,7,0,01,0000,5,01,0080
361,361,0,7,0,01,0000,5,01,0080
362,362,0,7,0,01,0000,5,01,0080
363,363,0,7,0,01,0000,5,01,0080
364,364,0,7,0,01,0000,5,01,0080
365,365,0,7,0,01,0000,5,01,0080
366,366,0,7,0,01,0000,5,01,0080
367,367,0,7,0,01,0000,5,01,0080
368,368,0,7,0,01,0000,5,01,0080
369,369,0,7,0,01,0000,5,01,0080
370,370,0,7,0,01,0000,5,01,0080
371,371,0,7,0,01,0000,5,01,0080
372,372,0,7,0,01,0000,5,01,0080
373,373,0,7,0,01,0000,5,01,0080
374,374,0,7,0,01,0000,5,01,0080
375,375,0,7,0,01,0000,5,01,0080
376,376,0,7,0,01,0000,5,01,0080
377,377,0,7,0,01,0000,5,01,0080
378,378,0,7,0,01,0000,5,01,0080
379,379,0,7,0,01,0000,5,01,0080
380,380,0,7,0,01,0000,5,01,0080
381,381,0,7,0,01,0000,5,01,0080
382,382,0,7,0,01,0000,5,01,0080
383,383,0,7,0,01,0000,5,01,0080
384,384,0,7,0,01,0000,5,01,0080
385,385,0,7,0,01,0000,5,01,0080
386,386,0,7,0,01,0000,5,01,0080
387,387,0,7,0,01,0000,5,01,0080
388,388,0,7,0,01,0000,5,01,0080
389,389,0,7,0,01,0000,5,01,0080
390,390,0,7,0,01,0000,5,01,0080
391,391,0,7,0,01,0000,5,01,0080
392,392,0,7,0,01,0000,5,01,0080
393,393,0,7,0,01,0000,5,01,0080
394,394,0,7,0,01,0000,5,01,0080
